"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"C15orf48",3.68337241214002e-11,-4.36173779076169,0.289,0.78,1.09153058061357e-06,"C15orf48"
"FN1",3.72585366552237e-11,-5.72473622395594,0.133,0.644,1.1041194752409e-06,"FN1"
"RBFOX2",3.75802591653336e-11,-4.18196823938194,0.084,0.61,1.1136534001055e-06,"RBFOX2"
"GNG12",4.63233927029942e-11,-4.15796370719661,0.06,0.559,1.37274741936053e-06,"GNG12"
"ABCC3",4.94480453289543e-11,-5.30187010939739,0.096,0.593,1.46534337527823e-06,"ABCC3"
"FOXC1",5.24691097087872e-11,-3.18066017996343,0.024,0.492,1.5548695971102e-06,"FOXC1"
"LRP5",5.49559056728022e-11,-3.41529594180093,0.048,0.542,1.62856330870782e-06,"LRP5"
"FAM20C",5.69641114456273e-11,-4.13615538162739,0.12,0.644,1.68807447857972e-06,"FAM20C"
"PON3",6.11719439162761e-11,-2.47211338549069,0.024,0.492,1.81276938601493e-06,"PON3"
"ADAM9",6.6269184342885e-11,-3.47916621202514,0.193,0.712,1.96382100881705e-06,"ADAM9"
"TMEM125",6.94443026294059e-11,-4.50475111490673,0.06,0.542,2.05791246411982e-06,"TMEM125"
"MCEMP1",7.35983949056456e-11,-5.09295893962555,0.012,0.458,2.1810148346339e-06,"MCEMP1"
"TEAD1",7.47993819367953e-11,-3.4576801032677,0.036,0.508,2.21660488431499e-06,"TEAD1"
"PXDN",7.65767437531888e-11,-4.21305304219815,0.012,0.458,2.269275224382e-06,"PXDN"
"FAM129B",7.72716625385698e-11,-4.4922143122989,0.133,0.661,2.28986844766798e-06,"FAM129B"
"ASS1",7.76362042690364e-11,-4.06158705700687,0.036,0.508,2.30067127730862e-06,"ASS1"
"AMOTL2",8.28912517235142e-11,-2.68917093179957,0.012,0.458,2.45639935357462e-06,"AMOTL2"
"FAT1",8.62373461958079e-11,-3.10637595258917,0.024,0.492,2.55555751716657e-06,"FAT1"
"LGR4",8.97139755928546e-11,-3.70701821379886,0.012,0.458,2.65858395271865e-06,"LGR4"
"CST6",9.22308621827765e-11,-5.06807331499517,0.036,0.492,2.7331693699244e-06,"CST6"
"PVRL4",9.22308621827765e-11,-3.98298735547581,0.036,0.492,2.7331693699244e-06,"PVRL4"
"CLDN12",9.88227912243421e-11,-2.78295038926944,0.108,0.627,2.92851459514215e-06,"CLDN12"
"C1orf116",1.00108074726868e-10,-3.18122551754513,0,0.424,2.96660268645601e-06,"C1orf116"
"DNAJC22",1.00108074726868e-10,-2.52172037360073,0,0.424,2.96660268645601e-06,"DNAJC22"
