"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"FKBP1B",1.31557170042647e-08,3.37123267939806,0.373,0,0.000389856517704379,"FKBP1B"
"MYO1B",1.31557170042647e-08,4.20195545835756,0.373,0,0.000389856517704379,"MYO1B"
"PKP3",1.31557170042647e-08,4.71699327964136,0.373,0,0.000389856517704379,"PKP3"
"PRSS8",1.31557170042647e-08,4.51919285669196,0.373,0,0.000389856517704379,"PRSS8"
"TMEM98",1.31557170042647e-08,4.82598675676552,0.373,0,0.000389856517704379,"TMEM98"
"WLS",1.31557170042647e-08,4.41308519547769,0.373,0,0.000389856517704379,"WLS"
"ZDHHC9",1.35075841180647e-08,3.22339778965555,0.412,0.013,0.00040028374775473,"ZDHHC9"
"CD276",1.38561306835891e-08,2.97247350431072,0.49,0.053,0.000410612576677481,"CD276"
"CTBP2",1.45374695199346e-08,3.05090166099611,0.569,0.093,0.000430803371753741,"CTBP2"
"WBP5",1.48958708472029e-08,3.46632096715224,0.529,0.08,0.000441424236686011,"WBP5"
"PTPN12",1.50396715452455e-08,3.15387276303025,0.627,0.133,0.000445685626571806,"PTPN12"
"LAMB2",1.54060639189713e-08,3.60407167435845,0.412,0.013,0.000456543298174795,"LAMB2"
"IRAK3",1.5664453428858e-08,4.54765573430245,0.431,0.027,0.000464200412910779,"IRAK3"
"AGAP3",1.580980674993e-08,3.68209825279959,0.451,0.027,0.000468507813227427,"AGAP3"
"FCGR2A",1.59383358723014e-08,3.93464702964231,0.51,0.08,0.000472316645239781,"FCGR2A"
"DRAM1",1.68696410978576e-08,3.92011951768895,0.51,0.067,0.000499914944293913,"DRAM1"
"C1QC",1.68955803557754e-08,3.97706569354165,0.529,0.093,0.000500683628263048,"C1QC"
"KIFC3",1.69799142371889e-08,2.5564232396472,0.51,0.053,0.000503182778504855,"KIFC3"
"RBM47",1.71208928822735e-08,2.56164223516385,0.569,0.107,0.000507360539673292,"RBM47"
"NQO1",1.75346340426459e-08,3.57581828734827,0.49,0.053,0.00051962134521977,"NQO1"
"IGF2BP2",1.77758225112168e-08,4.09404654421984,0.431,0.027,0.000526768724297398,"IGF2BP2"
"PALLD",1.79288366911088e-08,3.0612127965351,0.471,0.04,0.000531303146504319,"PALLD"
"PON2",1.85188188099877e-08,3.24448217498513,0.588,0.12,0.000548786676615175,"PON2"
"RAPH1",1.85391597303202e-08,3.58612842511444,0.431,0.027,0.000549389459448308,"RAPH1"
"FAM20C",1.94265669659743e-08,2.39655661463797,0.471,0.04,0.000575686885469682,"FAM20C"
"MSR1",2.1762535342017e-08,3.90973579025371,0.471,0.053,0.000644910972325333,"MSR1"
"VCAN",2.37616370873625e-08,5.56808697483018,0.392,0.013,0.000704152353446901,"VCAN"
"CDC42EP1",2.49959307765095e-08,4.42211646970437,0.451,0.04,0.000740729412631082,"CDC42EP1"
"TMC5",2.59464720150993e-08,3.42288029432577,0.392,0.013,0.000768897751695454,"TMC5"
"CD163",3.0045339125132e-08,5.15861166235742,0.412,0.027,0.000890363579634163,"CD163"
"BCAT1",3.13377153961248e-08,3.74693716155591,0.412,0.027,0.000928661858048762,"BCAT1"
"PRSS23",3.31173809937632e-08,4.38180897438379,0.451,0.04,0.000981400468369178,"PRSS23"
"DSP",3.37357041756929e-08,4.18198362409251,0.392,0.013,0.000999723857542483,"DSP"
"PPP1R13L",3.52374947565687e-08,2.82367384601435,0.392,0.013,0.00104422791961616,"PPP1R13L"
"PLSCR1",3.58709039875514e-08,2.84281820068768,0.686,0.227,0.0010629983687671,"PLSCR1"
"AHNAK2",3.6038358206549e-08,3.77534052128322,0.353,0,0.00106796070709287,"AHNAK2"
"ARHGAP32",3.6038358206549e-08,4.22690778742836,0.353,0,0.00106796070709287,"ARHGAP32"
"EGFR",3.6038358206549e-08,4.52532042714415,0.353,0,0.00106796070709287,"EGFR"
"NFIB",3.6038358206549e-08,4.54118352898536,0.353,0,0.00106796070709287,"NFIB"
"OSMR",3.6038358206549e-08,3.79649846729497,0.353,0,0.00106796070709287,"OSMR"
"PCGF2",3.6038358206549e-08,3.71265236306343,0.353,0,0.00106796070709287,"PCGF2"
"TMPRSS4",3.6038358206549e-08,4.70405250522284,0.353,0,0.00106796070709287,"TMPRSS4"
"VWA1",3.6038358206549e-08,4.80450092299019,0.353,0,0.00106796070709287,"VWA1"
"MCM4",3.77221934786842e-08,2.91971464192574,0.529,0.093,0.00111785948154733,"MCM4"
"EGFL7",3.81326032898971e-08,3.38152091471534,0.471,0.04,0.00113002156589281,"EGFL7"
"KRTCAP3",3.8438040742064e-08,4.02890985828088,0.392,0.013,0.00113907289935032,"KRTCAP3"
"VDR",3.91719293585584e-08,2.92059812102194,0.431,0.027,0.00116082095461152,"VDR"
"STEAP1",4.01422970285958e-08,1.35027181174064,0.392,0.013,0.00118957683014541,"STEAP1"
"LINC01272",4.04990725816815e-08,2.90795009458114,0.51,0.08,0.00120014951688555,"LINC01272"
"TOM1L1",4.19197269484808e-08,3.52956441918662,0.392,0.013,0.00124224918839128,"TOM1L1"
"C5AR1",4.56175745453666e-08,4.02650204434437,0.471,0.053,0.00135183120407739,"C5AR1"
"EPDR1",4.57063609339482e-08,3.88237001363027,0.392,0.013,0.00135446229991662,"EPDR1"
"EPHB2",4.96298165003706e-08,4.00602731757021,0.412,0.027,0.00147072998217198,"EPHB2"
"AXL",5.38073827306013e-08,4.3386370678545,0.373,0.013,0.00159452797983864,"AXL"
"KRT18",5.49482033175102e-08,3.58674171223372,0.608,0.187,0.0016283350571111,"KRT18"
"FAM198B",5.61975036350274e-08,3.66070171403778,0.412,0.027,0.0016653568227204,"FAM198B"
"PRSS22",6.13551364230073e-08,3.95819372663706,0.373,0.013,0.0018181981127594,"PRSS22"
"PYGL",7.19524491730139e-08,3.72502667224219,0.412,0.027,0.00213223887879309,"PYGL"
"PLPP2",7.39383074914754e-08,3.34878958936849,0.431,0.04,0.00219108780420238,"PLPP2"
"C1orf53",7.96477813948647e-08,3.28248663927167,0.373,0.013,0.00236028235385542,"C1orf53"
"ANKRD9",8.13579259476452e-08,3.27192242140808,0.412,0.027,0.00241096077753252,"ANKRD9"
"ATP1B1",8.15430547788879e-08,2.59433746253791,0.608,0.16,0.00241644688531756,"ATP1B1"
