"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ITGB5",2.91661412965278e-08,-3.53868360192777,0.086,0.551,0.000864309431181306,"ITGB5"
"NOL3",3.01091387441666e-08,-3.59428236421756,0.157,0.673,0.000892254217544633,"NOL3"
"CLDN7",3.06219780090859e-08,-3.91500110069624,0.186,0.673,0.00090745169632125,"CLDN7"
"IGFBP2",3.4790227081069e-08,-4.65959663604072,0.057,0.49,0.0010309735893204,"IGFBP2"
"RBP7",3.4790227081069e-08,-4.02274156641353,0.057,0.49,0.0010309735893204,"RBP7"
"BAIAP2L1",3.52670763321567e-08,-3.76620594665188,0.071,0.531,0.00104510454002713,"BAIAP2L1"
"STEAP3",3.77816264398869e-08,-3.89490468217878,0.057,0.49,0.00111962071791961,"STEAP3"
"GLUL",3.88130986171739e-08,-3.01800707775011,0.514,0.939,0.00115018736442133,"GLUL"
"CSTA",3.92921539902074e-08,-3.38624641736732,0.3,0.796,0.00116438369134581,"CSTA"
"LURAP1L",3.95208396941329e-08,-3.90361464649178,0.043,0.469,0.00117116056349593,"LURAP1L"
"SMPDL3A",4.07326085651605e-08,-3.53590259152069,0.157,0.653,0.00120707012221997,"SMPDL3A"
"ENAH",4.1398051020674e-08,-4.00517085798807,0.086,0.551,0.00122678984394665,"ENAH"
"GJA1",4.32458662871755e-08,-2.99676307947696,0.014,0.408,0.00128154800155416,"GJA1"
"FAM198B",4.32817926637031e-08,-3.79242013048633,0.114,0.571,0.00128261264379618,"FAM198B"
"RAB13",4.48415293519122e-08,-3.14177117714384,0.357,0.857,0.00132883388081457,"RAB13"
"PACSIN3",4.48578978280019e-08,-3.047185107493,0.043,0.469,0.00132931894423501,"PACSIN3"
"LAMC2",4.52759202618206e-08,-3.77347020896446,0.014,0.408,0.00134170662103879,"LAMC2"
"SLC16A3",4.64989233510521e-08,-3.39667587649096,0.457,0.918,0.00137794909458508,"SLC16A3"
"ARHGEF16",4.96998786603739e-08,-2.5117613475135,0,0.367,0.00147280620422152,"ARHGEF16"
"C1orf116",4.96998786603739e-08,-2.65468678044646,0,0.367,0.00147280620422152,"C1orf116"
"CGN",4.96998786603739e-08,-2.45542767067256,0,0.367,0.00147280620422152,"CGN"
"DEFB1",4.96998786603739e-08,-3.56392505814266,0,0.367,0.00147280620422152,"DEFB1"
"FNDC4",4.96998786603739e-08,-3.59296410163379,0,0.367,0.00147280620422152,"FNDC4"
"MST1R",4.96998786603739e-08,-2.57043297949961,0,0.367,0.00147280620422152,"MST1R"
"MUC21",4.96998786603739e-08,-3.00887609278506,0,0.367,0.00147280620422152,"MUC21"
"SPINK1",4.96998786603739e-08,-3.77748858263564,0,0.367,0.00147280620422152,"SPINK1"
