"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NKX2-8",9.83770258439788e-16,2.20435315348049,0.481,0,2.91530478386047e-11,"NKX2-8"
"NPNT",9.83770258439788e-16,3.00922097711693,0.481,0,2.91530478386047e-11,"NPNT"
"PPP1R1B",9.83770258439788e-16,4.55023963497277,0.481,0,2.91530478386047e-11,"PPP1R1B"
"ROS1",9.83770258439788e-16,2.62150320459018,0.481,0,2.91530478386047e-11,"ROS1"
"SIX4",9.83770258439788e-16,2.434512710847,0.481,0,2.91530478386047e-11,"SIX4"
"PLEKHH3",9.95415269262208e-16,2.87613134401615,0.766,0.182,2.94981360893163e-11,"PLEKHH3"
"PHLDA3",1.00397452428266e-15,2.83757433822486,0.857,0.364,2.97517810525925e-11,"PHLDA3"
"ARHGAP8",1.04537711066144e-15,1.99490959788459,0.662,0.082,3.09787052973411e-11,"ARHGAP8"
"C3orf14",1.07185768040263e-15,2.44627792394658,0.974,0.573,3.17634305010514e-11,"C3orf14"
"TM4SF1-AS1",1.07475661189535e-15,2.44357902385029,0.506,0.009,3.18493374369068e-11,"TM4SF1-AS1"
"MMP19",1.08597650328756e-15,3.059179024513,0.727,0.209,3.21818276984237e-11,"MMP19"
"FAM151B",1.15867475227e-15,2.23865186906721,0.519,0.018,3.43361676087691e-11,"FAM151B"
"PLA2G4A",1.17434841276602e-15,3.24272030102356,0.61,0.073,3.48006408639082e-11,"PLA2G4A"
"DGCR5",1.17551109201587e-15,2.09492706456872,0.675,0.1,3.48350957007983e-11,"DGCR5"
"TGFA",1.18700721567311e-15,2.58595515826711,0.714,0.127,3.51757718292569e-11,"TGFA"
"BATF2",1.21853354716913e-15,2.42071242967524,0.688,0.127,3.61100231368101e-11,"BATF2"
"TMEM61",1.34217345662795e-15,3.2082182523804,0.494,0.009,3.97739682137128e-11,"TMEM61"
"FZD2",1.3854843906918e-15,2.28468585241735,0.636,0.082,4.10574444337608e-11,"FZD2"
"MITF",1.44428501567279e-15,2.63655915911904,0.883,0.327,4.27999421544474e-11,"MITF"
"SH3RF1",1.48583176795586e-15,2.0894828278957,0.792,0.2,4.40311386116039e-11,"SH3RF1"
"MARVELD1",1.51171925182981e-15,2.57641938149721,0.831,0.282,4.47982883087245e-11,"MARVELD1"
"ADGRG6",1.58101316214237e-15,1.86529462987959,0.675,0.091,4.6851744046927e-11,"ADGRG6"
"ECT2",1.61656758847884e-15,2.5408860814381,0.753,0.2,4.7905363916982e-11,"ECT2"
"FGFBP2",1.63485941043586e-15,4.81553650666731,0.753,0.282,4.84474237688563e-11,"FGFBP2"
"SPAG17",1.67104776880517e-15,2.56844919873338,0.494,0.009,4.95198295807724e-11,"SPAG17"
"TSPAN12",1.71539412517147e-15,2.40664427944342,0.688,0.109,5.08339895053312e-11,"TSPAN12"
"METRNL",1.72115237925426e-15,2.44076382209945,0.922,0.555,5.10046296068207e-11,"METRNL"
