"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"OARD1",0.14735433127885,0.729648181185761,0.829,0.796,1,"OARD1"
"EXT2",0.147457134260537,-0.781138373550131,0.4,0.633,1,"EXT2"
"POLR1C",0.147457134260537,-0.555088294371348,0.4,0.633,1,"POLR1C"
"KPNA3",0.147670195278307,-0.585216429340888,0.586,0.776,1,"KPNA3"
"EPN1",0.14798822776108,-0.868260056091461,0.657,0.776,1,"EPN1"
"EHD4",0.148040868681107,-0.415589300630981,0.557,0.755,1,"EHD4"
"NACA2",0.148040868681107,0.642168426652023,0.629,0.653,1,"NACA2"
"CEACAM1",0.148157240351835,-0.678011537654255,0.271,0.449,1,"CEACAM1"
"PAWR",0.148157735256904,-0.65461264033063,0.443,0.694,1,"PAWR"
"CTA-14H9.5",0.148235904351059,-0.133820529786755,0.071,0.163,1,"CTA-14H9.5"
"EFCAB13",0.148333578963889,-1.75753618349072,0.143,0.265,1,"EFCAB13"
"SLC2A6",0.148419071564006,-0.286874795275256,0.386,0.612,1,"SLC2A6"
"APOBEC3F",0.148482206823156,-1.40879809649325,0.286,0.449,1,"APOBEC3F"
"PHF13",0.148482206823156,-0.278189366934249,0.286,0.449,1,"PHF13"
"RNF126",0.148487790657395,0.501491633969112,0.771,0.837,1,"RNF126"
"CEP70",0.148490308725172,-0.849910319676454,0.257,0.388,1,"CEP70"
"PCNT",0.148517389811459,-0.918410134810603,0.243,0.388,1,"PCNT"
"NOXA1",0.148534702959189,-0.100539662658576,0.2,0.347,1,"NOXA1"
"CCDC12",0.148549780914601,0.437363941345336,0.929,0.918,1,"CCDC12"
"CSTF2",0.148818374007126,-0.670380414386948,0.314,0.49,1,"CSTF2"
"DGCR8",0.148869514271699,-0.393791010750586,0.3,0.49,1,"DGCR8"
"FBXO45",0.149215141129317,-0.549684210878073,0.214,0.347,1,"FBXO45"
"SEC24C",0.149231860896601,0.202501329138474,0.386,0.592,1,"SEC24C"
"SLC22A15",0.149265446773631,-0.480843651841202,0.114,0.204,1,"SLC22A15"
"CLEC9A",0.149305364581686,-0.688771736599948,0.114,0.041,1,"CLEC9A"
"GALNT8",0.149305364581686,0.312493318643776,0.114,0.041,1,"GALNT8"
"IL23R",0.149305364581686,0.234354278348569,0.114,0.041,1,"IL23R"
"RP11-134O21.1",0.149305364581686,0.356749803648296,0.114,0.041,1,"RP11-134O21.1"
"TMCC3",0.149361927417312,-0.785202510542117,0.243,0.367,1,"TMCC3"
"ELMOD3",0.149502565223601,0.93728916134119,0.671,0.612,1,"ELMOD3"
"RP11-334J6.7",0.149639708734459,-0.263806223383015,0.143,0.061,1,"RP11-334J6.7"
"BAZ2B",0.149658747787552,-0.869550117419989,0.529,0.776,1,"BAZ2B"
"IKZF4",0.149669063771122,-1.31731638915815,0.2,0.327,1,"IKZF4"
"PEX26",0.149671550367296,-0.414695424163318,0.357,0.571,1,"PEX26"
"RCBTB1",0.149743414433852,-0.577052854344696,0.314,0.469,1,"RCBTB1"
"FEM1B",0.149896271593471,-0.651596262049771,0.414,0.612,1,"FEM1B"
"LINC00205",0.150023493456599,-1.23798767064535,0.143,0.245,1,"LINC00205"
"PRPF38B",0.150040723585597,0.49500876302938,0.914,0.918,1,"PRPF38B"
"PAPD5",0.150053360654189,-0.629468604072546,0.443,0.633,1,"PAPD5"
"COQ4",0.150109034828389,-0.406347356964807,0.629,0.776,1,"COQ4"
"LINC00667",0.150109034828389,0.514335147392018,0.714,0.653,1,"LINC00667"
"MTOR",0.150187876897839,-0.270573580185126,0.329,0.51,1,"MTOR"
"PYGB",0.150187876897839,-0.242635043885465,0.329,0.51,1,"PYGB"
"DUSP7",0.150310404141298,-0.805551870470682,0.229,0.388,1,"DUSP7"
"USP32",0.150325279966133,-0.43296942360419,0.429,0.633,1,"USP32"
"SEMA4F",0.150392779489038,-0.622955767375905,0.229,0.408,1,"SEMA4F"
"POLA1",0.150530683462836,-0.174955833676277,0.171,0.286,1,"POLA1"
"RP3-395M20.9",0.150530683462836,1.8033486216794,0.257,0.163,1,"RP3-395M20.9"
"PPID",0.150581921821142,-0.223306280916535,0.586,0.796,1,"PPID"
"ZNF260",0.15059647178947,-0.560566209146384,0.3,0.469,1,"ZNF260"
"HUS1B",0.150617314583183,-0.894778053152304,0.086,0.184,1,"HUS1B"
"RGMA",0.150617314583183,-0.410857006275275,0.086,0.184,1,"RGMA"
"ACBD3",0.150638301427449,-0.545936420587609,0.486,0.694,1,"ACBD3"
"LINC01358",0.150772758829432,-1.17209542890418,0.171,0.265,1,"LINC01358"
"NUP210",0.150777303023629,0.495736925083988,0.714,0.755,1,"NUP210"
"ZEB1",0.150827260971179,1.00646509540119,0.514,0.388,1,"ZEB1"
"RP11-275I4.1",0.150832380098228,1.42135246510272,0.086,0.02,1,"RP11-275I4.1"
"TSHR",0.150832380098228,-0.16020729807408,0.086,0.02,1,"TSHR"
"ALDH18A1",0.150888813753765,-0.279350311446549,0.4,0.571,1,"ALDH18A1"
"RP11-66B24.2",0.151053633085936,-0.696104995409976,0.071,0.163,1,"RP11-66B24.2"
"SNX1",0.151166525234195,-0.75081062540905,0.571,0.735,1,"SNX1"
"SGF29",0.151260749257556,0.470825936673221,0.657,0.571,1,"SGF29"
"TMEM245",0.151438010027053,-0.239454447383095,0.471,0.714,1,"TMEM245"
"CLASP1",0.151502948114965,-0.880378255503705,0.314,0.469,1,"CLASP1"
"CREB3",0.151521729659929,-0.995593078419534,0.629,0.837,1,"CREB3"
"DICER1",0.151558694675273,-0.472619385319524,0.571,0.796,1,"DICER1"
"AHI1",0.151642963690292,-0.435690728969957,0.486,0.714,1,"AHI1"
"SELO",0.15166426109608,-1.28686762449716,0.386,0.571,1,"SELO"
"TBC1D7",0.15166426109608,-0.127680309841144,0.386,0.571,1,"TBC1D7"
"IDUA",0.151750007997593,0.319248399500325,0.257,0.429,1,"IDUA"
"VWA5A",0.152067574073403,-1.20999552401231,0.3,0.429,1,"VWA5A"
"ALG2",0.152242535969332,-0.533577818103559,0.486,0.694,1,"ALG2"
"HTATSF1",0.152333201384775,-0.677777692725894,0.629,0.878,1,"HTATSF1"
"COX20",0.152409221456293,-0.496337263505926,0.8,0.898,1,"COX20"
"UTP14C",0.152478464320556,-0.327477946414268,0.357,0.531,1,"UTP14C"
"BCAT2",0.152488104094737,-0.573983195779436,0.414,0.592,1,"BCAT2"
"RP11-403I13.7",0.15249680585903,0.126884703411504,0.114,0.041,1,"RP11-403I13.7"
"ZNF35",0.152662161693726,-0.698192821067664,0.171,0.286,1,"ZNF35"
"ARID5B",0.152977737805252,0.490900272364233,0.9,0.878,1,"ARID5B"
"CCL19",0.152987669927255,1.42520381060346,0.243,0.143,1,"CCL19"
"UBN2",0.153034217549905,0.665763368249162,0.314,0.51,1,"UBN2"
"RP11-7F17.8",0.153034217549905,0.363125115739781,0.429,0.347,1,"RP11-7F17.8"
"NMRK1",0.153048027114909,0.881245159776061,0.8,0.673,1,"NMRK1"
"KIAA2026",0.15323961797181,0.949840212939291,0.7,0.673,1,"KIAA2026"
"CNBP",0.153243422057563,0.444972438602837,0.971,1,1,"CNBP"
"THAP2",0.153251354070925,-0.197492470313712,0.514,0.673,1,"THAP2"
"KIF17",0.153294580788585,-0.895130018244519,0.086,0.184,1,"KIF17"
"USP46-AS1",0.153294580788585,-0.570422552403289,0.086,0.184,1,"USP46-AS1"
"KMO",0.153341276924613,-1.77943476286696,0.357,0.49,1,"KMO"
"PSMC4",0.15350103683973,-0.657832471266514,0.743,0.918,1,"PSMC4"
"LIMS1",0.15350103683973,-0.816510883302553,0.771,0.878,1,"LIMS1"
"RP11-398C13.6",0.153632634847542,-1.64531682510904,0.114,0.224,1,"RP11-398C13.6"
