"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"DTX3L",4.12568916786348e-11,-1.69217389338088,0.773,0.961,1.22260672800466e-06,"DTX3L"
"PCDHB9",4.23373517009811e-11,-2.16404654721018,0.018,0.39,1.25462508030687e-06,"PCDHB9"
"KLF10",4.2471146839207e-11,-1.8806892831954,0.827,0.987,1.25858996543306e-06,"KLF10"
"TYROBP",4.32196816705673e-11,-1.8166779358843,0.955,1,1.28077204662559e-06,"TYROBP"
"TSHZ3",4.32832977225477e-11,-2.23291817065054,0.055,0.455,1.28265724470998e-06,"TSHZ3"
"RAP2A",4.35777705528924e-11,-1.72262614068915,0.573,0.909,1.29138365256441e-06,"RAP2A"
"SLC25A19",4.36108184666555e-11,-1.94315684144227,0.8,0.974,1.29236299444087e-06,"SLC25A19"
"CEP55",4.47643635197544e-11,-1.51733300337116,0.273,0.727,1.3265471485444e-06,"CEP55"
"CMPK2",4.47688077360281e-11,-1.68387843825521,0.618,0.935,1.32667884844946e-06,"CMPK2"
"C4BPB",4.65570050326186e-11,-2.53940238968208,0.2,0.662,1.37967028713662e-06,"C4BPB"
"CD3E",4.83018762330944e-11,1.44618682748136,1,0.961,1.43137780029152e-06,"CD3E"
"BAIAP2-AS1",4.85497396979482e-11,-1.95972778274526,0.318,0.831,1.438722986209e-06,"BAIAP2-AS1"
"KIAA0895L",4.93710426652028e-11,-2.03175579591244,0.191,0.662,1.46306147834062e-06,"KIAA0895L"
"YOD1",4.97195964122881e-11,-1.76055059504044,0.282,0.792,1.47339052008175e-06,"YOD1"
"CLDN10",4.97810771229019e-11,-5.36794433258064,0.009,0.364,1.47521243946008e-06,"CLDN10"
"MLLT4",5.1080204898523e-11,-1.58889143315535,0.564,0.922,1.51371079196283e-06,"MLLT4"
"ATF3",5.29592444126278e-11,-2.19928855380483,0.782,0.948,1.56939424892381e-06,"ATF3"
"CYTH3",5.34423857684588e-11,-2.11606169694624,0.327,0.831,1.58371165986251e-06,"CYTH3"
"SLC12A5",5.54876813545433e-11,-2.23760284546858,0.236,0.675,1.64432194926054e-06,"SLC12A5"
"MNDA",5.55244238499545e-11,-1.95384366548125,0.845,0.935,1.64541077636955e-06,"MNDA"
"PILRA",5.55826562301936e-11,-2.02699613540507,0.555,0.883,1.64713643472556e-06,"PILRA"
"C9orf116",5.6773985818981e-11,-2.41177539118281,0.182,0.662,1.68244029575968e-06,"C9orf116"
"SMCO4",5.70174732192689e-11,-1.9191147299178,0.882,0.987,1.68965580137981e-06,"SMCO4"
