"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TRIM29",2.42604980319168e-09,2.40032263460173,0.293,0.008,7.18935598677822e-05,"TRIM29"
"RP3-340N1.2",2.43704867455871e-09,3.04435990170004,0.305,0.017,7.22195004218727e-05,"RP3-340N1.2"
"RAB20",2.4434393610831e-09,2.83229428874513,0.793,0.408,7.24088820263365e-05,"RAB20"
"TMEM37",2.44673441862999e-09,2.45889188955675,0.512,0.133,7.2506527761681e-05,"TMEM37"
"BST1",2.4520917024649e-09,2.27979903872749,0.537,0.183,7.26652855108447e-05,"BST1"
"CDH11",2.47389311005622e-09,3.50229945495138,0.329,0.025,7.33113484234061e-05,"CDH11"
"OLFM1",2.53301121651866e-09,2.91838981783609,0.415,0.067,7.50632543903139e-05,"OLFM1"
"KISS1",2.55670914022319e-09,1.87020185788861,0.293,0.008,7.5765518661374e-05,"KISS1"
"GATA2",2.57267979579227e-09,4.38269270758242,0.354,0.033,7.6238793068508e-05,"GATA2"
"PLSCR4",2.59008204707988e-09,2.69740191156138,0.378,0.042,7.67544913831651e-05,"PLSCR4"
"TFF3",2.59647354004493e-09,4.70759919339141,0.439,0.083,7.69438968856914e-05,"TFF3"
"ANPEP",2.62280043053943e-09,3.87608244686886,0.561,0.2,7.77240679586055e-05,"ANPEP"
"ARHGEF11",2.63592415443985e-09,1.81758862391194,0.402,0.058,7.81129763926704e-05,"ARHGEF11"
"KRT18",2.68813284487215e-09,3.18213908376964,0.805,0.483,7.96601287249413e-05,"KRT18"
"CYSTM1",2.70948488783708e-09,2.10713309717691,0.927,0.642,8.02928751661639e-05,"CYSTM1"
"HCAR3",2.71547898122176e-09,1.49908605510254,0.488,0.125,8.04705041295257e-05,"HCAR3"
"PLEKHA7",2.72564865642732e-09,2.04288336931946,0.329,0.025,8.07718722845673e-05,"PLEKHA7"
"RP11-834C11.4",2.83744157154544e-09,2.73547469344194,0.366,0.042,8.40847435311776e-05,"RP11-834C11.4"
"TMEM176A",2.92985692649648e-09,2.50137219177841,0.744,0.375,8.68233801597966e-05,"TMEM176A"
"TMEM163",2.95583647461664e-09,2.10369373456394,0.488,0.1,8.75932580887894e-05,"TMEM163"
"SIGLEC9",3.02344617100609e-09,1.66659510920844,0.549,0.192,8.95968038315945e-05,"SIGLEC9"
"ASCL2",3.06662783201462e-09,1.82399174818691,0.61,0.233,9.08764491739214e-05,"ASCL2"
"SLCO2A1",3.07561082847326e-09,2.80632416511227,0.329,0.025,9.11426512909765e-05,"SLCO2A1"
"ATP1B1",3.12694086946171e-09,2.32559144238934,0.793,0.433,9.26637657256284e-05,"ATP1B1"
"LILRB3",3.15861729434586e-09,2.30703786343315,0.695,0.333,9.36024649006452e-05,"LILRB3"
"MIPOL1",3.19113497873139e-09,1.34907893884558,0.415,0.058,9.45660939597259e-05,"MIPOL1"
"CADM4",3.19796735139483e-09,2.06937726092983,0.402,0.058,9.47685644912344e-05,"CADM4"
"NPW",3.22339862598284e-09,3.10094732655412,0.488,0.125,9.55221948823754e-05,"NPW"
"TPPP3",3.36781504180968e-09,2.5448851128459,0.476,0.117,9.98018309489881e-05,"TPPP3"
"TMPRSS13",3.39865779093052e-09,2.60861078334946,0.354,0.033,0.000100715824976435,"TMPRSS13"
"RGL3",3.40175057310447e-09,2.34108963243427,0.415,0.067,0.000100807476483378,"RGL3"
"WWTR1",3.47482823816759e-09,2.70870496993673,0.585,0.183,0.000102973060009858,"WWTR1"
"FFAR4",3.58544798404311e-09,2.44978297225478,0.341,0.033,0.000106251165559134,"FFAR4"
"LRRC6",3.67121767082825e-09,1.44460759790894,0.427,0.067,0.000108792864457325,"LRRC6"
"NOVA1",3.68200142020665e-09,2.40749464781889,0.463,0.092,0.000109112430086404,"NOVA1"
"DHDH",3.69922242394398e-09,2.83868467864456,0.415,0.067,0.000109622757311156,"DHDH"
"GALNT14",3.73518696465903e-09,3.80770604774969,0.378,0.05,0.000110688530510706,"GALNT14"
"HES6",3.78187390206214e-09,3.10210149443889,0.659,0.225,0.000112072051213709,"HES6"
"RP11-392P7.6",3.83025795124783e-09,1.11454395536075,0.463,0.092,0.000113505864127278,"RP11-392P7.6"
"FFAR2",3.83807088966156e-09,3.63234433569308,0.305,0.017,0.000113737392744231,"FFAR2"
"ALDH4A1",3.85238470461473e-09,2.69976153780033,0.488,0.108,0.000114161568336553,"ALDH4A1"
"KLHL23",3.85238470461473e-09,1.09293197804083,0.488,0.108,0.000114161568336553,"KLHL23"
"CARD9",3.86713559025335e-09,3.51871821184051,0.5,0.142,0.000114598696081568,"CARD9"
"HOXA3",3.93552016046896e-09,3.3928260794732,0.305,0.017,0.000116625204435337,"HOXA3"
"LIFR",4.02772981549131e-09,2.74703290994204,0.39,0.05,0.000119357745352269,"LIFR"
"OAS3",4.03220930146654e-09,2.36350235362338,0.866,0.5,0.000119490490439659,"OAS3"
"MNS1",4.05189169859681e-09,2.18768893681075,0.427,0.075,0.000120073758596218,"MNS1"
"SH3BP4",4.10682893905072e-09,1.91191262257101,0.415,0.067,0.000121701768779829,"SH3BP4"
"PLXNA2",4.11863782968027e-09,2.95958349228326,0.39,0.058,0.000122051713444745,"PLXNA2"
"WNT5A",4.14705717873659e-09,2.34706046462295,0.354,0.042,0.00012289389243468,"WNT5A"
"ZEB2-AS1",4.19344232970466e-09,2.77428770715977,0.415,0.067,0.000124268469998468,"ZEB2-AS1"
"SPRY4",4.20293994194443e-09,2.66702636222565,0.329,0.025,0.000124549922239581,"SPRY4"
"ECT2",4.2111406700576e-09,2.46389442594243,0.585,0.183,0.000124792942616487,"ECT2"
"SCG5",4.22154925429269e-09,2.74055289018309,0.341,0.033,0.00012510139060171,"SCG5"
"MRAS",4.32656982855327e-09,2.53674981869835,0.549,0.158,0.000128213570299348,"MRAS"
"ALDH3B1",4.40523995998263e-09,2.48923975396633,0.61,0.208,0.000130544880974125,"ALDH3B1"
"PPM1L",4.56914104640055e-09,2.34670219892495,0.402,0.067,0.000135401925769034,"PPM1L"
"CDKN1C",4.57599430982244e-09,3.5154681450117,0.488,0.108,0.000135605015377278,"CDKN1C"
"SMURF1",4.79742844988664e-09,2.50899510784307,0.634,0.2,0.000142166994683941,"SMURF1"
"EPHX3",4.85313118446142e-09,2.60569652523053,0.341,0.033,0.00014381768952033,"EPHX3"
