"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SPTLC2",0.0201906777280955,-0.200714228444368,0.32,0.588,1,"SPTLC2"
"RBM3",0.020214248217059,0.78588548194811,0.907,0.882,1,"RBM3"
"YEATS4",0.0203696952860111,-1.04706861198805,0.44,0.608,1,"YEATS4"
"LDHB",0.0203859340550259,0.673173129454156,0.933,0.902,1,"LDHB"
"PSAP",0.0203978239194215,-0.459542231000237,0.867,0.863,1,"PSAP"
"FAM219A",0.0204282338079244,-1.76925700894505,0.053,0.196,1,"FAM219A"
"PRUNE",0.0204282338079244,-0.438603737767952,0.053,0.196,1,"PRUNE"
"EPHB6",0.0205036447373196,2.3311188776584,0.32,0.157,1,"EPHB6"
"UBXN2B",0.0205200707063487,-1.21147152381929,0.187,0.412,1,"UBXN2B"
"HMHA1",0.0205257484823273,0.701285124385062,0.747,0.706,1,"HMHA1"
"ABTB1",0.0205269428111959,0.922480878016607,0.6,0.471,1,"ABTB1"
"ADCK1",0.0205910625913655,-0.984587587636598,0.027,0.137,1,"ADCK1"
"NCR3LG1",0.0205910625913655,-1.39828510889708,0.027,0.137,1,"NCR3LG1"
"PSRC1",0.0205910625913655,-2.62150103677143,0.027,0.137,1,"PSRC1"
"RP11-407N17.5",0.0205910625913655,-0.737050145886331,0.027,0.137,1,"RP11-407N17.5"
"ZNF713",0.0205910625913655,-0.55104753641081,0.027,0.137,1,"ZNF713"
"BANK1",0.0206774683116359,0.70985470334539,0.627,0.392,1,"BANK1"
"ID2",0.0207850269892281,-0.897576315164078,0.68,0.882,1,"ID2"
"NR4A3",0.0207858697815143,-2.0003107263881,0.16,0.333,1,"NR4A3"
"SARAF",0.0208213712888639,0.823088658457541,0.987,0.922,1,"SARAF"
"JAK2",0.0208217940613775,-0.832310893262149,0.067,0.216,1,"JAK2"
"APOPT1",0.0208785652336239,-0.573256315636066,0.44,0.647,1,"APOPT1"
"CHAC2",0.0208814621655223,-1.51592654799361,0.107,0.275,1,"CHAC2"
"ZNF362",0.0209193626230422,-0.253331288463568,0.107,0.294,1,"ZNF362"
"EXTL2",0.0209281263390672,-0.412535501636528,0.053,0.196,1,"EXTL2"
"NAT1",0.0209281263390672,-1.16320814181755,0.053,0.196,1,"NAT1"
"FANCL",0.0209581488627885,0.425887763110883,0.133,0.314,1,"FANCL"
"IMPDH1",0.020985877703025,-0.154908240429369,0.307,0.51,1,"IMPDH1"
"MROH6",0.0210309317604341,-0.964324674296532,0.08,0.235,1,"MROH6"
"UBE4B",0.0210407399097339,-0.763872170721966,0.173,0.373,1,"UBE4B"
"GHRL",0.0210759676965961,1.62705624141121,0.253,0.098,1,"GHRL"
"RCOR1",0.021109766281698,-1.20362604391257,0.16,0.353,1,"RCOR1"
"NPW",0.0212021653340703,-1.55741144971132,0.04,0.157,1,"NPW"
"ATP2A1-AS1",0.0212076002974254,-0.526074391996313,0.027,0.137,1,"ATP2A1-AS1"
"CCDC150",0.0212076002974254,-1.09588973214406,0.027,0.137,1,"CCDC150"
"FAM83D",0.0212076002974254,-1.87386141048004,0.027,0.137,1,"FAM83D"
"GAB2",0.0212076002974254,0.194630337448064,0.027,0.137,1,"GAB2"
"PARPBP",0.0212076002974254,-0.37154016918492,0.027,0.137,1,"PARPBP"
"PHLDB2",0.0212076002974254,-2.60679860932224,0.027,0.137,1,"PHLDB2"
"PLSCR4",0.0212076002974254,-1.55150691656557,0.027,0.137,1,"PLSCR4"
"RASSF6",0.0212076002974254,-0.784251018682413,0.027,0.137,1,"RASSF6"
"TBCEL",0.0212076002974254,-2.01359175214796,0.027,0.137,1,"TBCEL"
"ZNF629",0.0212076002974254,-1.03816418277054,0.027,0.137,1,"ZNF629"
"OSBPL11",0.0212165031554551,-0.601068692542189,0.2,0.392,1,"OSBPL11"
"NUDT15",0.0212391399052304,-0.855175174556461,0.2,0.431,1,"NUDT15"
"AC002117.1",0.0212594523338613,3.01562123228103,0.2,0.059,1,"AC002117.1"
"CAAP1",0.0213219261193535,0.335477434835886,0.173,0.412,1,"CAAP1"
"UBE2W",0.0214061919299906,-1.24849703974094,0.32,0.588,1,"UBE2W"
"GUSB",0.0214116311775496,-0.386104229559308,0.373,0.667,1,"GUSB"
"CDK20",0.0214386462047073,-0.969310031058477,0.053,0.196,1,"CDK20"
"SH2D1A",0.0214828141138963,1.00545194200167,0.613,0.431,1,"SH2D1A"
"HBA1",0.0214901326784683,-0.131872849947136,0.08,0.235,1,"HBA1"
"RBM42",0.0215003206814312,-0.576717632605272,0.467,0.725,1,"RBM42"
"TBK1",0.0215544891683752,-0.56504193223625,0.333,0.549,1,"TBK1"
"SPON2",0.0215885495143002,-1.9876484094359,0.227,0.392,1,"SPON2"
"NUDT9",0.0216791273481985,-0.560717511493648,0.267,0.529,1,"NUDT9"
"NMT2",0.0216791273481985,1.54120447816245,0.427,0.294,1,"NMT2"
"SRGAP2C",0.0216847248508474,-0.634492751358278,0.24,0.471,1,"SRGAP2C"
"PRMT9",0.0217151033155137,1.5025665332459,0.533,0.431,1,"PRMT9"
"EDEM2",0.0218264960896991,-0.746120115424024,0.28,0.529,1,"EDEM2"
"STK4",0.0218275488342787,0.657236973954964,0.88,0.784,1,"STK4"
"SULT1C2",0.0218401569000204,-1.20217687461378,0.027,0.137,1,"SULT1C2"
"TMEM136",0.0218401569000204,-1.64110914621929,0.027,0.137,1,"TMEM136"
"TMEM217",0.0218401569000204,-1.46921022208237,0.027,0.137,1,"TMEM217"
"XXbac-BPG252P9.10",0.0218401569000204,-1.73092114452715,0.027,0.137,1,"XXbac-BPG252P9.10"
"ERCC2",0.0218990788219858,-0.425061444957323,0.12,0.294,1,"ERCC2"
"USP24",0.0219429525407196,-0.483431551981912,0.2,0.431,1,"USP24"
"DUSP8",0.0219580388780838,-0.252971329899134,0.08,0.235,1,"DUSP8"
"AP3D1",0.0220198060922603,-0.851594793176647,0.413,0.627,1,"AP3D1"
"ZFP36L1",0.0220740723181952,-0.637333064355255,0.84,0.902,1,"ZFP36L1"
"RPS21",0.0220923590137703,0.577013684052424,0.987,0.98,1,"RPS21"
"ZNF641",0.0221301575483996,-0.47337267901459,0.147,0.333,1,"ZNF641"
"RRM1",0.0222017072963222,-0.426132722503441,0.227,0.451,1,"RRM1"
"MRPL14",0.0222098815833354,-0.819218676187739,0.56,0.725,1,"MRPL14"
"ETF1",0.0222427656267992,-0.494727988895413,0.387,0.588,1,"ETF1"
"ACADVL",0.0222765159507149,-0.609419290132051,0.627,0.784,1,"ACADVL"
"PRELID2",0.0222879295990866,-0.531481766265618,0.067,0.216,1,"PRELID2"
"MOV10",0.0223192137460203,-0.856027620560802,0.147,0.353,1,"MOV10"
"HIST1H4H",0.022321023545143,2.43398366878937,0.253,0.098,1,"HIST1H4H"
"NRIP3",0.0223678766697487,-2.25117808282055,0.04,0.157,1,"NRIP3"
"KCNN4",0.0223730817707732,-0.65140546063801,0.307,0.529,1,"KCNN4"
"STRA13",0.0223775950919046,-0.555539034562031,0.48,0.686,1,"STRA13"
"VAV2",0.0223801859950969,0.118850224107951,0.12,0.314,1,"VAV2"
"AKAP12",0.0224890681882209,-1.56234269767121,0.027,0.137,1,"AKAP12"
"C1QTNF6",0.0224890681882209,-1.26675716627655,0.027,0.137,1,"C1QTNF6"
"CASC15",0.0224890681882209,-1.59307174924501,0.027,0.137,1,"CASC15"
"GNG10",0.0224890681882209,-0.636761922624697,0.027,0.137,1,"GNG10"
"NEFH",0.0224890681882209,0.247045264833273,0.027,0.137,1,"NEFH"
"SLCO4A1",0.0224890681882209,-2.21359186007747,0.027,0.137,1,"SLCO4A1"
"TBKBP1",0.0224890681882209,-0.810023474347057,0.027,0.137,1,"TBKBP1"
"TMEM241",0.0224890681882209,-1.43401897973403,0.027,0.137,1,"TMEM241"
"ARAP1",0.0224897977630226,-0.286777820148604,0.28,0.529,1,"ARAP1"
"PRKD2",0.0225092220834963,0.908440963341917,0.64,0.549,1,"PRKD2"
"SELO",0.0225151327804673,-1.00144474027757,0.093,0.255,1,"SELO"
"ZFYVE26",0.0225151327804673,-1.47611758435184,0.093,0.255,1,"ZFYVE26"
"MTRNR2L8",0.0225177211094813,-0.378892990103049,0.32,0.569,1,"MTRNR2L8"
"KLF11",0.0226091255648031,-0.506231715591556,0.187,0.392,1,"KLF11"
"REEP6",0.0226122501265079,0.156977324356975,0.107,0.294,1,"REEP6"
"AVL9",0.0226771341034313,-0.603181330324185,0.267,0.51,1,"AVL9"
"GLCE",0.0227175817668335,-0.231726090431511,0.147,0.353,1,"GLCE"
"YRDC",0.0227342069331458,-0.141897671025278,0.213,0.471,1,"YRDC"
"AFMID",0.0227961997944951,0.46380341470257,0.067,0.216,1,"AFMID"
"DEDD",0.0229082979146163,-0.901212016066082,0.16,0.373,1,"DEDD"
"THBS3",0.0229205013416614,-1.15427905732776,0.08,0.235,1,"THBS3"
"SKI",0.0229334546824212,-0.570768058447984,0.24,0.51,1,"SKI"
"DNAAF1",0.0229713504643095,-1.34762841232166,0.04,0.157,1,"DNAAF1"
"EBI3",0.0229713504643095,-2.63441634137024,0.04,0.157,1,"EBI3"
"RP11-1391J7.1",0.0229713504643095,-1.62679164551717,0.04,0.157,1,"RP11-1391J7.1"
"SEMA6B",0.0229713504643095,-1.5908509680912,0.04,0.157,1,"SEMA6B"
"GPR35",0.0229810356786783,-1.06205498197811,0.093,0.255,1,"GPR35"
"POLR3C",0.0229890842998359,-1.61829343021665,0.187,0.392,1,"POLR3C"
"CCDC14",0.022992394152688,-1.06406146492853,0.253,0.51,1,"CCDC14"
"RHEB",0.0229995454024748,-0.672745525465308,0.707,0.824,1,"RHEB"
"FAM21A",0.0230528321140239,-0.817147623631484,0.107,0.275,1,"FAM21A"
"CSRP1",0.0230892404828529,-1.06660093390421,0.387,0.608,1,"CSRP1"
"CEP68",0.0231125967940738,1.63682373386506,0.453,0.333,1,"CEP68"
"AP003774.1",0.0231438972647884,2.96452747111296,0.293,0.118,1,"AP003774.1"
"ACVR2B",0.0231546745275938,-1.29074451555974,0.027,0.137,1,"ACVR2B"
"AIM1L",0.0231546745275938,-1.10106022969753,0.027,0.137,1,"AIM1L"
"COL4A2",0.0231546745275938,-1.46159547174717,0.027,0.137,1,"COL4A2"
"LTK",0.0231546745275938,-0.380919164361294,0.027,0.137,1,"LTK"
"MPV17L",0.0231546745275938,-0.444264706124247,0.027,0.137,1,"MPV17L"
"NPIPA5",0.0231546745275938,-0.688336626243341,0.027,0.137,1,"NPIPA5"
"PAX8",0.0231546745275938,-1.26427554263333,0.027,0.137,1,"PAX8"
"RP5-894A10.2",0.0231546745275938,-1.59725192569518,0.027,0.137,1,"RP5-894A10.2"
"SLC46A1",0.0231546745275938,-0.641614661668739,0.027,0.137,1,"SLC46A1"
"SYNPO",0.0231546745275938,0.277596430986333,0.027,0.137,1,"SYNPO"
"TMEM44-AS1",0.0231546745275938,-1.74269379895219,0.027,0.137,1,"TMEM44-AS1"
"TMEM86A",0.0231546745275938,-2.18139981117761,0.027,0.137,1,"TMEM86A"
"NEDD9",0.0231809006532073,-1.06069123457176,0.333,0.549,1,"NEDD9"
"ATP6V0D1",0.023200542217701,-0.676526002079444,0.587,0.706,1,"ATP6V0D1"
"ESYT2",0.0232130602798143,-0.387712595654967,0.293,0.549,1,"ESYT2"
"DCTN1",0.0232571431099037,-0.552399298149754,0.227,0.49,1,"DCTN1"
"CMAS",0.0232793995064228,-0.793222100357829,0.373,0.647,1,"CMAS"
"GSTM4",0.0233514150953485,0.690106898520994,0.147,0.333,1,"GSTM4"
"PIM3",0.0234955355351726,-0.757498268877876,0.52,0.765,1,"PIM3"
"PDCD4",0.02350420096735,0.74569381304277,0.787,0.686,1,"PDCD4"
"KANK1",0.0235098960352438,-1.35506285144555,0.107,0.275,1,"KANK1"
"ACLY",0.0235563742241421,-0.553766624475476,0.32,0.51,1,"ACLY"
