"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RP11-430G17.3",0.502355672015865,-0.312321764048242,0.092,0.134,1,"RP11-430G17.3"
"SUPT20H",0.502406175188393,0.296851364213494,0.775,0.829,1,"SUPT20H"
"ZNF227",0.502489190753818,0.443976747431371,0.467,0.585,1,"ZNF227"
"DKK3",0.502640867787181,0.825644591823134,0.242,0.22,1,"DKK3"
"CTD-2540F13.2",0.502640867787181,1.35621022275275,0.233,0.232,1,"CTD-2540F13.2"
"GIMAP8",0.502749952219305,0.367915256319413,0.475,0.488,1,"GIMAP8"
"ZMAT2",0.502846703300711,-0.3077692123306,0.825,0.915,1,"ZMAT2"
"GMCL1",0.502882831636678,0.131912333754428,0.725,0.768,1,"GMCL1"
"DDTL",0.503015276937292,0.905916333035753,0.142,0.11,1,"DDTL"
"ARMCX5",0.503015671796825,0.950358718718308,0.492,0.488,1,"ARMCX5"
"RHOT2",0.50305566450932,0.482427411525943,0.775,0.817,1,"RHOT2"
"SIRT4",0.503100995003823,2.77649575680275,0.158,0.134,1,"SIRT4"
"DUBR",0.503136879574694,-0.190056930552221,0.075,0.11,1,"DUBR"
"AC073657.1",0.503430667002629,-0.421049698023631,0.042,0.024,1,"AC073657.1"
"C9orf41-AS1",0.503430667002629,-0.227919839085258,0.042,0.024,1,"C9orf41-AS1"
"HCG22",0.503430667002629,-0.134020788334692,0.042,0.024,1,"HCG22"
"RP11-345P4.7",0.503430667002629,1.04583836964733,0.042,0.024,1,"RP11-345P4.7"
"RP11-66D17.3",0.503430667002629,-0.287097040873717,0.042,0.024,1,"RP11-66D17.3"
"RP11-803B1.8",0.503597648157609,-0.624148994857636,0.1,0.134,1,"RP11-803B1.8"
"RP11-16E12.2",0.503703802418225,-0.252578865271133,0.383,0.354,1,"RP11-16E12.2"
"WDR82",0.504104064653352,0.330839760457722,0.8,0.805,1,"WDR82"
"PPM1B",0.50422602928919,0.568311278549257,0.8,0.817,1,"PPM1B"
"OTUD6B-AS1",0.50465376408874,0.159767036999614,0.792,0.878,1,"OTUD6B-AS1"
"CNBD2",0.504707140017919,0.211535804578547,0.475,0.646,1,"CNBD2"
"TRGV9",0.504806704328816,-0.395499691096755,0.225,0.183,1,"TRGV9"
"ZC3HC1",0.504961452248258,-0.237129044043274,0.475,0.598,1,"ZC3HC1"
"RANBP3",0.505123903862494,0.590199808628698,0.717,0.695,1,"RANBP3"
"PDE4B",0.505133269463468,0.155817829668728,0.858,0.854,1,"PDE4B"
"ARL6IP6",0.505249753916575,-0.215563020131213,0.7,0.805,1,"ARL6IP6"
"ZNF451",0.505323032499086,-0.11280760679315,0.608,0.768,1,"ZNF451"
"CCDC163P",0.505585355509479,0.70687497639396,0.208,0.183,1,"CCDC163P"
"SCFD1",0.505597016061378,-0.222649457286539,0.692,0.793,1,"SCFD1"
"MAPK3",0.50587551252028,0.112844035948948,0.567,0.683,1,"MAPK3"
"LIPE-AS1",0.505967838603877,0.166349079211752,0.442,0.524,1,"LIPE-AS1"
"SCAMP5",0.506045943540727,0.303496191982969,0.233,0.293,1,"SCAMP5"
"COQ10A",0.506353668197187,0.687928775501268,0.525,0.573,1,"COQ10A"
"HPDL",0.506694196861787,-0.84799126214858,0.092,0.122,1,"HPDL"
"LYRM7",0.506982458839426,0.347038489020684,0.667,0.78,1,"LYRM7"
"TMUB2",0.507039456440277,0.355165644098496,0.725,0.78,1,"TMUB2"
"LYST",0.507171760322207,-0.283978823130062,0.708,0.866,1,"LYST"
"CUEDC2",0.507250431472652,-0.276346630067022,0.767,0.854,1,"CUEDC2"
"CHMP4A",0.507261394505938,0.271349962989381,0.917,0.951,1,"CHMP4A"
"EIF2S2",0.507261394505938,-0.158850742901344,0.917,0.951,1,"EIF2S2"
"TMEM123",0.507287368513764,0.317038802787848,0.942,0.939,1,"TMEM123"
"ERCC6L2",0.507450726854707,0.37628017811299,0.517,0.537,1,"ERCC6L2"
"NSUN3",0.507487252713166,-0.53235695032869,0.442,0.512,1,"NSUN3"
"METTL9",0.50766471493865,-0.211200540908042,0.842,0.915,1,"METTL9"
"CCDC174",0.507739177822196,0.441984366045527,0.708,0.756,1,"CCDC174"
"PPP1R21",0.507983063264151,0.281116136170955,0.608,0.634,1,"PPP1R21"
"STK10",0.508123324813218,0.363476345083799,0.742,0.829,1,"STK10"
"CTD-2619J13.17",0.508377416296598,-0.286234478673231,0.042,0.024,1,"CTD-2619J13.17"
"RFTN2",0.508377416296598,1.36733347906927,0.042,0.024,1,"RFTN2"
"RP11-275I4.1",0.508377416296598,-0.883478932268112,0.042,0.024,1,"RP11-275I4.1"
"RP11-676J15.1",0.508377416296598,-0.264340517319873,0.042,0.024,1,"RP11-676J15.1"
"RP4-555D20.4",0.508377416296598,1.7176473442156,0.042,0.024,1,"RP4-555D20.4"
"SPIC",0.508377416296598,-0.255608203829882,0.042,0.024,1,"SPIC"
"UPK1B",0.508377416296598,1.0007019334979,0.042,0.024,1,"UPK1B"
"BTF3L4",0.508451024072241,-0.259881534704036,0.817,0.951,1,"BTF3L4"
"SRP72",0.508501279068889,-0.169208848484807,0.858,0.902,1,"SRP72"
"TUBGCP5",0.508532363445631,0.674712200436053,0.458,0.451,1,"TUBGCP5"
"GK-AS1",0.508559264264744,-1.09950109197433,0.05,0.073,1,"GK-AS1"
"TMEM165",0.508753251503989,-0.255012758544256,0.883,0.951,1,"TMEM165"
"SET",0.508858653904009,-0.181059292551081,0.917,0.976,1,"SET"
"PTGDS",0.508994480349817,-0.253187596516282,0.442,0.5,1,"PTGDS"
"SLC26A11",0.508994824746047,-0.397043270392288,0.433,0.585,1,"SLC26A11"
"PLEKHA1",0.509324174380392,0.402861779833043,0.7,0.695,1,"PLEKHA1"
"KIF5C",0.509575975839568,0.151123008828818,0.192,0.171,1,"KIF5C"
"CFAP20",0.509704414724285,0.539669159362709,0.75,0.817,1,"CFAP20"
"DDX19B",0.509785101102168,-0.131707208885395,0.675,0.829,1,"DDX19B"
"DGCR8",0.509849062470507,0.414987266307332,0.433,0.512,1,"DGCR8"
"FAM162A",0.509912856594231,-0.146423404026738,0.85,0.878,1,"FAM162A"
"GNG4",0.510099565413612,0.52616626375739,0.175,0.232,1,"GNG4"
"ZNF724P",0.510099565413612,-0.411431838995747,0.175,0.232,1,"ZNF724P"
"DUSP18",0.510157006623532,-0.302984670659312,0.533,0.646,1,"DUSP18"
"PNO1",0.510203130228427,-0.151785941701484,0.617,0.732,1,"PNO1"
"C7orf73",0.510239010725603,-0.259661157341932,0.858,0.951,1,"C7orf73"
"SLC35F3",0.510757382691092,-0.440860724759225,0.158,0.207,1,"SLC35F3"
"JMJD4",0.510908370122085,0.33445301206903,0.542,0.585,1,"JMJD4"
"RP11-407H12.8",0.511076140535397,-0.464595301637656,0.1,0.073,1,"RP11-407H12.8"
